,model,sentence,question,correct,incorrect,sent_type,quest_type
1617,meta-llama/Meta-Llama-3-70B-Instruct,While the professor taught the students looked at the board.,Did the professor teach the students?,0.0,1.0,GP_prob,GP_question
1618,meta-llama/Meta-Llama-3-70B-Instruct,While the professor taught the puppies looked at the board.,Did the puppies look at the board?,1.0,0.0,GP_improb,simple_question
1619,meta-llama/Meta-Llama-3-70B-Instruct,While the professor taught the puppies looked at the board.,Did the professor teach the puppies?,1.0,0.0,GP_improb,GP_question
1620,meta-llama/Meta-Llama-3-70B-Instruct,The students looked at the board while the professor taught.,Did the students look at the board?,1.0,0.0,nonGP_prob,simple_question
1621,meta-llama/Meta-Llama-3-70B-Instruct,The students looked at the board while the professor taught.,Did the professor teach the students?,0.0,1.0,nonGP_prob,GP_question
1622,meta-llama/Meta-Llama-3-70B-Instruct,The puppies looked at the board while the professor taught.,Did the puppies look at the board?,1.0,0.0,nonGP_improb,simple_question
1623,meta-llama/Meta-Llama-3-70B-Instruct,The puppies looked at the board while the professor taught.,Did the professor teach the puppies?,1.0,0.0,nonGP_improb,GP_question
1624,meta-llama/Meta-Llama-3-70B-Instruct,While the pianist practiced the melody echoed through the hall.,Did the melody echo through the hall?,1.0,0.0,GP_prob,simple_question
1625,meta-llama/Meta-Llama-3-70B-Instruct,While the pianist practiced the melody echoed through the hall.,Did the pianist practice the melody?,0.6630871295928955,0.3369128704071045,GP_prob,GP_question
1626,meta-llama/Meta-Llama-3-70B-Instruct,While the pianist practiced the vacuum echoed through the hall.,Did the vacuum echo through the hall?,1.0,0.0,GP_improb,simple_question
1627,meta-llama/Meta-Llama-3-70B-Instruct,While the pianist practiced the vacuum echoed through the hall.,Did the pianist practice the vacuum?,1.0,0.0,GP_improb,GP_question
1628,meta-llama/Meta-Llama-3-70B-Instruct,The melody echoed through the hall while the pianist practiced.,Did the melody echo through the hall?,1.0,0.0,nonGP_prob,simple_question
1629,meta-llama/Meta-Llama-3-70B-Instruct,The melody echoed through the hall while the pianist practiced.,Did the pianist practice the melody?,0.0,1.0,nonGP_prob,GP_question
1630,meta-llama/Meta-Llama-3-70B-Instruct,The vacuum echoed through the hall while the pianist practiced.,Did the vacuum echo through the hall?,1.0,0.0,nonGP_improb,simple_question
1631,meta-llama/Meta-Llama-3-70B-Instruct,The vacuum echoed through the hall while the pianist practiced.,Did the pianist practice the vacuum?,1.0,0.0,nonGP_improb,GP_question
1632,meta-llama/Meta-Llama-3-70B-Instruct,While the couple left the bar buzzed with activity.,Did the bar buzz with activity?,1.0,0.0,GP_prob,simple_question
1633,meta-llama/Meta-Llama-3-70B-Instruct,While the couple left the bar buzzed with activity.,Did the couple leave the bar?,0.0,1.0,GP_prob,GP_question
1634,meta-llama/Meta-Llama-3-70B-Instruct,While the couple left the hive buzzed with activity.,Did the hive buzz with activity?,1.0,0.0,GP_improb,simple_question
1635,meta-llama/Meta-Llama-3-70B-Instruct,While the couple left the hive buzzed with activity.,Did the couple leave the hive?,1.0,0.0,GP_improb,GP_question
1636,meta-llama/Meta-Llama-3-70B-Instruct,The bar buzzed with activity while the couple left.,Did the bar buzz with activity?,1.0,0.0,nonGP_prob,simple_question
1637,meta-llama/Meta-Llama-3-70B-Instruct,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,0.0,1.0,nonGP_prob,GP_question
1638,meta-llama/Meta-Llama-3-70B-Instruct,The hive buzzed with activity while the couple left.,Did the hive buzz with activity?,1.0,0.0,nonGP_improb,simple_question
1639,meta-llama/Meta-Llama-3-70B-Instruct,The hive buzzed with activity while the couple left.,Did the couple leave the hive?,1.0,0.0,nonGP_improb,GP_question
1640,meta-llama/Meta-Llama-3-70B-Instruct,While the gardener harvested the tomatoes hanged on the vine.,Did the tomatoes hang on the vine?,1.0,0.0,GP_prob,simple_question
1641,meta-llama/Meta-Llama-3-70B-Instruct,While the gardener harvested the tomatoes hanged on the vine.,Did the gardener harvest the tomatoes?,0.0,1.0,GP_prob,GP_question
1642,meta-llama/Meta-Llama-3-70B-Instruct,While the gardener harvested the chrysalis hanged on the vine.,Did the chrysalis hang on the vine?,1.0,0.0,GP_improb,simple_question
1643,meta-llama/Meta-Llama-3-70B-Instruct,While the gardener harvested the chrysalis hanged on the vine.,Did the gardener harvest the chrysalis?,0.8445800542831421,0.1554199159145355,GP_improb,GP_question
1644,meta-llama/Meta-Llama-3-70B-Instruct,The tomatoes hanged on the vine while the gardener harvested.,Did the tomatoes hang on the vine?,1.0,0.0,nonGP_prob,simple_question
1645,meta-llama/Meta-Llama-3-70B-Instruct,The tomatoes hanged on the vine while the gardener harvested.,Did the gardener harvest the tomatoes?,0.0,1.0,nonGP_prob,GP_question
1646,meta-llama/Meta-Llama-3-70B-Instruct,The chrysalis hanged on the vine while the gardener harvested.,Did the chrysalis hang on the vine?,1.0,0.0,nonGP_improb,simple_question
1647,meta-llama/Meta-Llama-3-70B-Instruct,The chrysalis hanged on the vine while the gardener harvested.,Did the gardener harvest the chrysalis?,1.0,0.0,nonGP_improb,GP_question
1648,meta-llama/Meta-Llama-3-70B-Instruct,While the horse pulled the cart moved silently.,Did the cart move silently?,1.0,0.0,GP_prob,simple_question
1649,meta-llama/Meta-Llama-3-70B-Instruct,While the horse pulled the cart moved silently.,Did the horse pull the cart?,0.0,1.0,GP_prob,GP_question
1650,meta-llama/Meta-Llama-3-70B-Instruct,While the horse pulled the submarine moved silently.,Did the submarine move silently?,1.0,0.0,GP_improb,simple_question
1651,meta-llama/Meta-Llama-3-70B-Instruct,While the horse pulled the submarine moved silently.,Did the horse pull the submarine?,0.5195213556289673,0.4804786741733551,GP_improb,GP_question
1652,meta-llama/Meta-Llama-3-70B-Instruct,The cart moved silently while the horse pulled.,Did the cart move silently?,1.0,0.0,nonGP_prob,simple_question
1653,meta-llama/Meta-Llama-3-70B-Instruct,The cart moved silently while the horse pulled.,Did the horse pull the cart?,0.0,1.0,nonGP_prob,GP_question
1654,meta-llama/Meta-Llama-3-70B-Instruct,The submarine moved silently while the horse pulled.,Did the submarine move silently?,1.0,0.0,nonGP_improb,simple_question
1655,meta-llama/Meta-Llama-3-70B-Instruct,The submarine moved silently while the horse pulled.,Did the horse pull the submarine?,1.0,0.0,nonGP_improb,GP_question
1656,meta-llama/Meta-Llama-3-70B-Instruct,The child giggled with delight while Jim bathed.,Did the child giggle with delight?,1.0,0.0,nonGP_reflexive,simple_question
1657,meta-llama/Meta-Llama-3-70B-Instruct,The child giggled with delight while Jim bathed.,Did Jim bathe the child?,0.4256844818592071,0.5743154883384705,nonGP_reflexive,GP_question
1658,meta-llama/Meta-Llama-3-70B-Instruct,The baboons sat in the grass while the chimps groomed.,Did the baboons sit in the grass?,1.0,0.0,nonGP_reflexive,simple_question
1659,meta-llama/Meta-Llama-3-70B-Instruct,The baboons sat in the grass while the chimps groomed.,Did the chimps groom the baboons?,1.0,0.0,nonGP_reflexive,GP_question
1660,meta-llama/Meta-Llama-3-70B-Instruct,The car sat in the driveway while Frank dried off.,Did the car sit in the driveway?,1.0,0.0,nonGP_reflexive,simple_question
1661,meta-llama/Meta-Llama-3-70B-Instruct,The car sat in the driveway while Frank dried off.,Did Frank dry off the car?,1.0,0.0,nonGP_reflexive,GP_question
1662,meta-llama/Meta-Llama-3-70B-Instruct,The neighbor coughed loudly while Betty woke up.,Did the neighbor cough loudly?,1.0,0.0,nonGP_reflexive,simple_question
1663,meta-llama/Meta-Llama-3-70B-Instruct,The neighbor coughed loudly while Betty woke up.,Did Betty wake up the neighbor?,1.0,0.0,nonGP_reflexive,GP_question
1664,meta-llama/Meta-Llama-3-70B-Instruct,The jewelry sparkled brightly while the thief hid.,Did the jewelry sparkle brightly?,1.0,0.0,nonGP_reflexive,simple_question
1665,meta-llama/Meta-Llama-3-70B-Instruct,The jewelry sparkled brightly while the thief hid.,Did the thief hide the jewelry?,1.0,0.0,nonGP_reflexive,GP_question
1666,meta-llama/Meta-Llama-3-70B-Instruct,The baby spit up on the bed while Anna dressed.,Did the baby spit up on the bed?,1.0,0.0,nonGP_reflexive,simple_question
1667,meta-llama/Meta-Llama-3-70B-Instruct,The baby spit up on the bed while Anna dressed.,Did Anna dress the baby?,1.0,0.0,nonGP_reflexive,GP_question
1668,meta-llama/Meta-Llama-3-70B-Instruct,The dog barked loudly while the boy washed.,Did the dog bark loudly?,1.0,0.0,nonGP_reflexive,simple_question
1669,meta-llama/Meta-Llama-3-70B-Instruct,The dog barked loudly while the boy washed.,Did the boy wash the dog?,1.0,0.0,nonGP_reflexive,GP_question
1670,meta-llama/Meta-Llama-3-70B-Instruct,The horse stood in the stall while the jockey settled down.,Did the horse stand in the stall?,1.0,0.0,nonGP_reflexive,simple_question
1671,meta-llama/Meta-Llama-3-70B-Instruct,The horse stood in the stall while the jockey settled down.,Did the jockey settle down the horse?,1.0,0.0,nonGP_reflexive,GP_question
1672,meta-llama/Meta-Llama-3-70B-Instruct,The baby cried softly while the mother undressed.,Did the baby cry softly?,1.0,0.0,nonGP_reflexive,simple_question
1673,meta-llama/Meta-Llama-3-70B-Instruct,The baby cried softly while the mother undressed.,Did the mother undress the baby?,1.0,0.0,nonGP_reflexive,GP_question
1674,meta-llama/Meta-Llama-3-70B-Instruct,The patient watched TV while the nurse shaved.,Did the patient watch TV?,1.0,0.0,nonGP_reflexive,simple_question
1675,meta-llama/Meta-Llama-3-70B-Instruct,The patient watched TV while the nurse shaved.,Did the nurse shave the patient?,0.0,1.0,nonGP_reflexive,GP_question
1676,meta-llama/Meta-Llama-3-70B-Instruct,The cat stared at the dog while the girl scratched.,Did the cat stare at the dog?,1.0,0.0,nonGP_reflexive,simple_question
1677,meta-llama/Meta-Llama-3-70B-Instruct,The cat stared at the dog while the girl scratched.,Did the girl scratch the cat?,1.0,0.0,nonGP_reflexive,GP_question
1678,meta-llama/Meta-Llama-3-70B-Instruct,The children sat on the bed while the mother calmed down.,Did the children sit on the bed?,1.0,0.0,nonGP_reflexive,simple_question
1679,meta-llama/Meta-Llama-3-70B-Instruct,The children sat on the bed while the mother calmed down.,Did the mother calm down the children?,1.0,0.0,nonGP_reflexive,GP_question
1680,meta-llama/Meta-Llama-3-70B-Instruct,The painting stood the test of time while the artist changed.,Did the painting stand the test of time?,1.0,0.0,nonGP_reflexive,simple_question
1681,meta-llama/Meta-Llama-3-70B-Instruct,The painting stood the test of time while the artist changed.,Did the artist change the painting?,1.0,0.0,nonGP_reflexive,GP_question
1682,meta-llama/Meta-Llama-3-70B-Instruct,The tomatoes invaded the garden while the child grew.,Did the tomato invade the garden?,1.0,0.0,nonGP_reflexive,simple_question
1683,meta-llama/Meta-Llama-3-70B-Instruct,The tomatoes invaded the garden while the child grew.,Did the child grow the tomatoes?,1.0,0.0,nonGP_reflexive,GP_question
1684,meta-llama/Meta-Llama-3-70B-Instruct,The ball kept moving across the room while the toddler rolled.,Did the ball keep moving across the room?,1.0,0.0,nonGP_reflexive,simple_question
1685,meta-llama/Meta-Llama-3-70B-Instruct,The ball kept moving across the room while the toddler rolled.,Did the toddler roll the ball?,0.0,1.0,nonGP_reflexive,GP_question
1686,meta-llama/Meta-Llama-3-70B-Instruct,The wheel made weird noises while the mechanic turned.,Did the wheel make weird noises?,1.0,0.0,nonGP_reflexive,simple_question
1687,meta-llama/Meta-Llama-3-70B-Instruct,The wheel made weird noises while the mechanic turned.,Did the mechanic turn the wheel?,0.0,1.0,nonGP_reflexive,GP_question
1688,meta-llama/Meta-Llama-3-70B-Instruct,The river stayed warm while the ice cap shrank.,Did the river stay warm?,1.0,0.0,nonGP_reflexive,simple_question
1689,meta-llama/Meta-Llama-3-70B-Instruct,The river stayed warm while the ice cap shrank.,Did the ice cap shrink the river?,1.0,0.0,nonGP_reflexive,GP_question
1690,meta-llama/Meta-Llama-3-70B-Instruct,The bat fell on the road while the gymnast swung.,Did the bat fall on the floor?,0.0,1.0,nonGP_reflexive,simple_question
1691,meta-llama/Meta-Llama-3-70B-Instruct,The bat fell on the road while the gymnast swung.,Did the gymnast swing the bat?,1.0,0.0,nonGP_reflexive,GP_question
1692,meta-llama/Meta-Llama-3-70B-Instruct,The athletes started the game while Bill trained.,Did the athletes start the game?,1.0,0.0,nonGP_reflexive,simple_question
1693,meta-llama/Meta-Llama-3-70B-Instruct,The athletes started the game while Bill trained.,Did Bill train the athletes?,1.0,0.0,nonGP_reflexive,GP_question
1694,meta-llama/Meta-Llama-3-70B-Instruct,The bone went bad while the dog moved.,Did the bone go bad?,1.0,0.0,nonGP_reflexive,simple_question
1695,meta-llama/Meta-Llama-3-70B-Instruct,The bone went bad while the dog moved.,Did the dog move the bone?,1.0,0.0,nonGP_reflexive,GP_question
1696,meta-llama/Meta-Llama-3-70B-Instruct,The valley kept on living quietly while the river flooded.,Did the valley keep on living quietly?,1.0,0.0,nonGP_reflexive,simple_question
1697,meta-llama/Meta-Llama-3-70B-Instruct,The valley kept on living quietly while the river flooded.,Did the river flood the valley?,0.6803126335144043,0.3196873664855957,nonGP_reflexive,GP_question
1698,meta-llama/Meta-Llama-3-70B-Instruct,The window moved on its axis while the log broke.,Did the window move on its axis?,1.0,0.0,nonGP_reflexive,simple_question
1699,meta-llama/Meta-Llama-3-70B-Instruct,The window moved on its axis while the log broke.,Did the log break the window?,1.0,0.0,nonGP_reflexive,GP_question
1700,meta-llama/Meta-Llama-3-70B-Instruct,The fire warmed the children while the match lit.,Did the fire warm the children?,1.0,0.0,nonGP_reflexive,simple_question
1701,meta-llama/Meta-Llama-3-70B-Instruct,The fire warmed the children while the match lit.,Did the match light the fire?,0.1032652631402015,0.8967347145080566,nonGP_reflexive,GP_question
1702,meta-llama/Meta-Llama-3-70B-Instruct,The boat was stranded in the ocean while the wave crashed.,Was the boat stranded in the ocean?,1.0,0.0,nonGP_reflexive,simple_question
1703,meta-llama/Meta-Llama-3-70B-Instruct,The boat was stranded in the ocean while the wave crashed.,Did the wave crash the boat?,0.7264255881309509,0.2735743820667267,nonGP_reflexive,GP_question
1704,meta-llama/Meta-Llama-3-70B-Instruct,While Jim bathed the child giggled with delight.,Did the child giggle with delight?,1.0,0.0,GP_reflexive,simple_question
1705,meta-llama/Meta-Llama-3-70B-Instruct,While Jim bathed the child giggled with delight.,Did Jim bathe the child?,0.7948101758956909,0.2051898092031479,GP_reflexive,GP_question
1706,meta-llama/Meta-Llama-3-70B-Instruct,While the chimps groomed the baboons sat in the grass.,Did the baboons sit in the grass?,1.0,0.0,GP_reflexive,simple_question
1707,meta-llama/Meta-Llama-3-70B-Instruct,While the chimps groomed the baboons sat in the grass.,Did the chimps groom the baboons?,1.0,0.0,GP_reflexive,GP_question
1708,meta-llama/Meta-Llama-3-70B-Instruct,While Frank dried off the car sat in the driveway.,Did the car sit in the driveway?,1.0,0.0,GP_reflexive,simple_question
1709,meta-llama/Meta-Llama-3-70B-Instruct,While Frank dried off the car sat in the driveway.,Did Frank dry off the car?,0.1438279598951339,0.8561720848083496,GP_reflexive,GP_question
1710,meta-llama/Meta-Llama-3-70B-Instruct,While Betty woke up the neighbor coughed loudly.,Did the neighbor cough loudly?,1.0,0.0,GP_reflexive,simple_question
1711,meta-llama/Meta-Llama-3-70B-Instruct,While Betty woke up the neighbor coughed loudly.,Did Betty wake up the neighbor?,1.0,0.0,GP_reflexive,GP_question
1712,meta-llama/Meta-Llama-3-70B-Instruct,While the thief hid the jewelry sparkled brightly.,Did the jewelry sparkle brightly?,1.0,0.0,GP_reflexive,simple_question
1713,meta-llama/Meta-Llama-3-70B-Instruct,While the thief hid the jewelry sparkled brightly.,Did the thief hide the jewelry?,0.6572449803352356,0.342754989862442,GP_reflexive,GP_question
1714,meta-llama/Meta-Llama-3-70B-Instruct,While Anna dressed the baby spit up on the bed.,Did the baby spit up on the bed?,1.0,0.0,GP_reflexive,simple_question
1715,meta-llama/Meta-Llama-3-70B-Instruct,While Anna dressed the baby spit up on the bed.,Did Anna dress the baby?,1.0,0.0,GP_reflexive,GP_question
1716,meta-llama/Meta-Llama-3-70B-Instruct,While the boy washed the dog barked loudly.,Did the dog bark loudly?,1.0,0.0,GP_reflexive,simple_question
1717,meta-llama/Meta-Llama-3-70B-Instruct,While the boy washed the dog barked loudly.,Did the boy wash the dog?,1.0,0.0,GP_reflexive,GP_question
1718,meta-llama/Meta-Llama-3-70B-Instruct,While the jockey settled down the horse stood in the stall.,Did the horse stand in the stall?,1.0,0.0,GP_reflexive,simple_question
1719,meta-llama/Meta-Llama-3-70B-Instruct,While the jockey settled down the horse stood in the stall.,Did the jockey settle down the horse?,1.0,0.0,GP_reflexive,GP_question
1720,meta-llama/Meta-Llama-3-70B-Instruct,While the mother undressed the baby cried softly.,Did the baby cry softly?,1.0,0.0,GP_reflexive,simple_question
1721,meta-llama/Meta-Llama-3-70B-Instruct,While the mother undressed the baby cried softly.,Did the mother undress the baby?,0.7490872144699097,0.2509127855300903,GP_reflexive,GP_question
1722,meta-llama/Meta-Llama-3-70B-Instruct,While the nurse shaved the patient watched TV.,Did the patient watch TV?,1.0,0.0,GP_reflexive,simple_question
1723,meta-llama/Meta-Llama-3-70B-Instruct,While the nurse shaved the patient watched TV.,Did the nurse shave the patient?,0.8362323679029942,0.1637676656246185,GP_reflexive,GP_question
1724,meta-llama/Meta-Llama-3-70B-Instruct,While the girl scratched the cat stared at the dog.,Did the cat stare at the dog?,1.0,0.0,GP_reflexive,simple_question
1725,meta-llama/Meta-Llama-3-70B-Instruct,While the girl scratched the cat stared at the dog.,Did the girl scratch the cat?,0.9999999571591616,0.0,GP_reflexive,GP_question
1726,meta-llama/Meta-Llama-3-70B-Instruct,While the mother calmed down the children sat on the bed.,Did the children sit on the bed?,1.0,0.0,GP_reflexive,simple_question
1727,meta-llama/Meta-Llama-3-70B-Instruct,While the mother calmed down the children sat on the bed.,Did the mother calm down the children?,0.5,0.5,GP_reflexive,GP_question
1728,meta-llama/Meta-Llama-3-70B-Instruct,While the artist changed the painting stood the test of time.,Did the painting stand the test of time?,1.0,0.0,GP_reflexive,simple_question
1729,meta-llama/Meta-Llama-3-70B-Instruct,While the artist changed the painting stood the test of time.,Did the artist change the painting?,0.0,1.0,GP_reflexive,GP_question
1730,meta-llama/Meta-Llama-3-70B-Instruct,While the child grew the tomatoes invaded the garden.,Did the tomato invade the garden?,1.0,0.0,GP_reflexive,simple_question
1731,meta-llama/Meta-Llama-3-70B-Instruct,While the child grew the tomatoes invaded the garden.,Did the child grow the tomatoes?,0.932780623435974,0.0672193467617034,GP_reflexive,GP_question
1732,meta-llama/Meta-Llama-3-70B-Instruct,While the toddler rolled the ball kept moving across the room.,Did the ball keep moving across the room?,1.0,0.0,GP_reflexive,simple_question
1733,meta-llama/Meta-Llama-3-70B-Instruct,While the toddler rolled the ball kept moving across the room.,Did the toddler roll the ball?,0.2388753443956375,0.7611246705055237,GP_reflexive,GP_question
1734,meta-llama/Meta-Llama-3-70B-Instruct,While the mechanic turned the wheel made weird noises.,Did the wheel make weird noises?,1.0,0.0,GP_reflexive,simple_question
1735,meta-llama/Meta-Llama-3-70B-Instruct,While the mechanic turned the wheel made weird noises.,Did the mechanic turn the wheel?,0.0,1.0,GP_reflexive,GP_question
1736,meta-llama/Meta-Llama-3-70B-Instruct,While the ice cap shrank the river stayed warm.,Did the river stay warm?,1.0,0.0,GP_reflexive,simple_question
1737,meta-llama/Meta-Llama-3-70B-Instruct,While the ice cap shrank the river stayed warm.,Did the ice cap shrink the river?,1.0,0.0,GP_reflexive,GP_question
1738,meta-llama/Meta-Llama-3-70B-Instruct,While the gymnast swung the bat fell on the road,Did the bat fall on the floor?,0.0,1.0,GP_reflexive,simple_question
1739,meta-llama/Meta-Llama-3-70B-Instruct,While the gymnast swung the bat fell on the road,Did the gymnast swing the bat?,0.9999999925494194,0.0,GP_reflexive,GP_question
1740,meta-llama/Meta-Llama-3-70B-Instruct,While Bill trained the athletes started the game.,Did the athletes start the game?,1.0,0.0,GP_reflexive,simple_question
1741,meta-llama/Meta-Llama-3-70B-Instruct,While Bill trained the athletes started the game.,Did Bill train the athletes?,1.000000048428774,0.0,GP_reflexive,GP_question
1742,meta-llama/Meta-Llama-3-70B-Instruct,While the dog moved the bone went bad.,Did the bone go bad?,1.0,0.0,GP_reflexive,simple_question
1743,meta-llama/Meta-Llama-3-70B-Instruct,While the dog moved the bone went bad.,Did the dog move the bone?,0.9184802770614624,0.0815197527408599,GP_reflexive,GP_question
1744,meta-llama/Meta-Llama-3-70B-Instruct,While the river flooded the valley kept on living quietly.,Did the valley keep on living quietly?,1.0,0.0,GP_reflexive,simple_question
1745,meta-llama/Meta-Llama-3-70B-Instruct,While the river flooded the valley kept on living quietly.,Did the river flood the valley?,0.0,1.0,GP_reflexive,GP_question
1746,meta-llama/Meta-Llama-3-70B-Instruct,While the log broke the window moved on its axis.,Did the window move on its axis?,1.0,0.0,GP_reflexive,simple_question
1747,meta-llama/Meta-Llama-3-70B-Instruct,While the log broke the window moved on its axis.,Did the log break the window?,0.1159607097506523,0.8840392827987671,GP_reflexive,GP_question
1748,meta-llama/Meta-Llama-3-70B-Instruct,While the match lit the fire warmed the children.,Did the fire warm the children?,1.0,0.0,GP_reflexive,simple_question
1749,meta-llama/Meta-Llama-3-70B-Instruct,While the match lit the fire warmed the children.,Did the match light the fire?,0.0,1.0,GP_reflexive,GP_question
1750,meta-llama/Meta-Llama-3-70B-Instruct,While the wave crashed the boat was stranded in the ocean.,Was the boat stranded in the ocean?,1.0,0.0,GP_reflexive,simple_question
1751,meta-llama/Meta-Llama-3-70B-Instruct,While the wave crashed the boat was stranded in the ocean.,Did the wave crash the boat?,0.0,1.0,GP_reflexive,GP_question
1752,meta-llama/Meta-Llama-3-70B-Instruct,While the man hunted the deer ran into the woods.,Did the deer run into the woods?,1.0,0.0,GP_prob,simple_question
1753,meta-llama/Meta-Llama-3-70B-Instruct,While the man hunted the deer ran into the woods.,Did the man hunt the deer?,0.6803126335144043,0.3196873664855957,GP_prob,GP_question
1754,meta-llama/Meta-Llama-3-70B-Instruct,While the man hunted the child ran into the woods.,Did the child run into the woods?,1.0,0.0,GP_improb,simple_question
1755,meta-llama/Meta-Llama-3-70B-Instruct,While the man hunted the child ran into the woods.,Did the man hunt the child?,1.0,0.0,GP_improb,GP_question
1756,meta-llama/Meta-Llama-3-70B-Instruct,The deer ran into the woods while the man hunted.,Did the deer run into the woods?,1.0,0.0,nonGP_prob,simple_question
1757,meta-llama/Meta-Llama-3-70B-Instruct,The deer ran into the woods while the man hunted.,Did the man hunt the deer?,0.0,1.0,nonGP_prob,GP_question
1758,meta-llama/Meta-Llama-3-70B-Instruct,The child ran into the woods while the man hunted.,Did the child run into the woods?,1.0,0.0,nonGP_improb,simple_question
1759,meta-llama/Meta-Llama-3-70B-Instruct,The child ran into the woods while the man hunted.,Did the man hunt the child?,1.0,0.0,nonGP_improb,GP_question
1760,meta-llama/Meta-Llama-3-70B-Instruct,While the skipper sailed the boat veered off course.,Did the boat veer off course?,1.0,0.0,GP_prob,simple_question
1761,meta-llama/Meta-Llama-3-70B-Instruct,While the skipper sailed the boat veered off course.,Did the skipper sail the boat?,0.6746222376823425,0.3253777623176574,GP_prob,GP_question
1762,meta-llama/Meta-Llama-3-70B-Instruct,While the skipper sailed the car veered off course.,Did the car veer off course?,1.0,0.0,GP_improb,simple_question
1763,meta-llama/Meta-Llama-3-70B-Instruct,While the skipper sailed the car veered off course.,Did the skipper sail the car?,1.0,0.0,GP_improb,GP_question
1764,meta-llama/Meta-Llama-3-70B-Instruct,The boat veered off course while the skipper sailed.,Did the boat veer off course?,1.0,0.0,nonGP_prob,simple_question
1765,meta-llama/Meta-Llama-3-70B-Instruct,The boat veered off course while the skipper sailed.,Did the skipper sail the boat?,0.0,1.0,nonGP_prob,GP_question
1766,meta-llama/Meta-Llama-3-70B-Instruct,The car veered off course while the skipper sailed.,Did the car veer off course?,1.0,0.0,nonGP_improb,simple_question
1767,meta-llama/Meta-Llama-3-70B-Instruct,The car veered off course while the skipper sailed.,Did the skipper sail the car?,1.0,0.0,nonGP_improb,GP_question
1768,meta-llama/Meta-Llama-3-70B-Instruct,While the orchestra performed the symphony played on the radio.,Did the symphony play on the radio?,1.0,0.0,GP_prob,simple_question
1769,meta-llama/Meta-Llama-3-70B-Instruct,While the orchestra performed the symphony played on the radio.,Did the orchestra perform the symphony?,0.0,1.0,GP_prob,GP_question
1770,meta-llama/Meta-Llama-3-70B-Instruct,While the orchestra performed the newsflash played on the radio.,Did the newsflash play on the radio?,1.0,0.0,GP_improb,simple_question
1771,meta-llama/Meta-Llama-3-70B-Instruct,While the orchestra performed the newsflash played on the radio.,Did the orchestra perform the newsflash?,1.0,0.0,GP_improb,GP_question
1772,meta-llama/Meta-Llama-3-70B-Instruct,The symphony played on the radio while the orchestra performed.,Did the symphony play on the radio?,1.0,0.0,nonGP_prob,simple_question
1773,meta-llama/Meta-Llama-3-70B-Instruct,The symphony played on the radio while the orchestra performed.,Did the orchestra perform the symphony?,0.6273427605628967,0.3726572692394256,nonGP_prob,GP_question
1774,meta-llama/Meta-Llama-3-70B-Instruct,The newsflash played on the radio while the orchestra performed.,Did the newsflash play on the radio?,1.0,0.0,nonGP_improb,simple_question
1775,meta-llama/Meta-Llama-3-70B-Instruct,The newsflash played on the radio while the orchestra performed.,Did the orchestra perform the newsflash?,1.0,0.0,nonGP_improb,GP_question
1776,meta-llama/Meta-Llama-3-70B-Instruct,While the bridesmaid ordered the dress got delivered.,Did the dress get delivered?,1.0,0.0,GP_prob,simple_question
1777,meta-llama/Meta-Llama-3-70B-Instruct,While the bridesmaid ordered the dress got delivered.,Did the bridesmaid order the dress?,0.0,1.0,GP_prob,GP_question
1778,meta-llama/Meta-Llama-3-70B-Instruct,While the bridesmaid ordered the tractor got delivered.,Did the tractor get delivered?,1.0,0.0,GP_improb,simple_question
1779,meta-llama/Meta-Llama-3-70B-Instruct,While the bridesmaid ordered the tractor got delivered.,Did the bridesmaid order the tractor?,0.0,1.0,GP_improb,GP_question
1780,meta-llama/Meta-Llama-3-70B-Instruct,The dress got delivered while the bridesmaid ordered.,Did the dress get delivered?,1.0,0.0,nonGP_prob,simple_question
1781,meta-llama/Meta-Llama-3-70B-Instruct,The dress got delivered while the bridesmaid ordered.,Did the bridesmaid order the dress?,0.0,1.0,nonGP_prob,GP_question
1782,meta-llama/Meta-Llama-3-70B-Instruct,The tractor got delivered while the bridesmaid ordered.,Did the tractor get delivered?,1.0,0.0,nonGP_improb,simple_question
1783,meta-llama/Meta-Llama-3-70B-Instruct,The tractor got delivered while the bridesmaid ordered.,Did the bridesmaid order the tractor?,1.0000000149011612,0.0,nonGP_improb,GP_question
1784,meta-llama/Meta-Llama-3-70B-Instruct,While Susan wrote the letter fell off the table.,Did the letter fall off the table?,1.0,0.0,GP_prob,simple_question
1785,meta-llama/Meta-Llama-3-70B-Instruct,While Susan wrote the letter fell off the table.,Did Susan write the letter?,0.14706452190876,0.8529354333877563,GP_prob,GP_question
1786,meta-llama/Meta-Llama-3-70B-Instruct,While Susan wrote the Bible fell off the table.,Did the Bible fall off the table?,1.0,0.0,GP_improb,simple_question
1787,meta-llama/Meta-Llama-3-70B-Instruct,While Susan wrote the Bible fell off the table.,Did Susan write the Bible?,1.0,0.0,GP_improb,GP_question
1788,meta-llama/Meta-Llama-3-70B-Instruct,The letter fell off the table while Susan wrote.,Did the letter fall off the table?,1.0,0.0,nonGP_prob,simple_question
1789,meta-llama/Meta-Llama-3-70B-Instruct,The letter fell off the table while Susan wrote.,Did Susan write the letter?,0.1487054079771042,0.8512946367263794,nonGP_prob,GP_question
1790,meta-llama/Meta-Llama-3-70B-Instruct,The Bible fell off the table while Susan wrote.,Did the Bible fall off the table?,1.0,0.0,nonGP_improb,simple_question
